prix	livraison	etat	retour	memoire	console	manette	cable	nbjeu	edition
350.0	25.0	Occasion	Non	0	Wii U	oui	oui	35.0	non
210.63	14.85	Occasion	Oui	0	2DS	NaN	oui	0.0	oui
278.62	0.0	Neuf	Oui	0	PS Vita	NaN	oui	0.0	non
339.9	0.0	Occasion	Oui	1000.0	PS4 PRO	oui	oui	0.0	non
173.82	22.05	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
153.21	0.0	Occasion	Oui	0	PS Vita	oui	oui	0.0	non
312.45	0.0	Occasion	Oui	1000.0	Xbox One S	NaN	oui	0.0	non
800.36	43.98	Occasion	Oui	0	Neo-Geo AES	NaN	oui	0.0	non
89.9	0.0	Occasion	Oui	250.0	Xbox 360s	oui	oui	0.0	non
140.0	11.5	Occasion	Non	320.0	PS3 slim	oui	oui	0.0	non
118.9	52.92	Occasion	Oui	0	PS2	NaN	oui	0.0	non
127.94	0.0	Occasion	Oui	NaN	PS3	oui	oui	0.0	oui
265.66	26.62	Occasion	Oui	0	NES	NaN	oui	0.0	non
156.62	0.0	Occasion	Oui	0	PS Vita	oui	oui	0.0	non
90.0	12.0	Occasion	Non	0	Switch	oui	non	0.0	non
207.2	0.0	Occasion	Oui	0	PS2	NaN	oui	0.0	non
45.0	5.5	Reconditionné par le vendeur	Non	0	DSlite	NaN	oui	0.0	non
169.9	0.0	Occasion	Oui	0	Wii U	NaN	oui	0.0	oui
129.0	0.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	non
9.9	4.9	Pour pièces détachées/ne fonctionne pas	Oui	0	PS1	oui	non	0.0	non
115.0	7.5	Occasion	Non	0	Game cube	oui	oui	2.0	non
270.0	20.0	Occasion	Non	250.0	Xbox 360	oui	oui	0.0	oui
288.85	0.0	Neuf	Oui	0	3DS	NaN	oui	0.0	non
284.27	0.0	Occasion	Oui	500.0	Xbox One S	oui	oui	0.0	non
99.9	0.0	Occasion	Oui	0	Wii	NaN	oui	0.0	non
140.0	12.0	Occasion	Non	0	PS2 slim	oui	oui	0.0	non
101.24	0.0	Pour pièces détachées/ne fonctionne pas	Oui	0	PSP	NaN	oui	0.0	non
146.02	26.62	Occasion	Oui	0	Game Boy Color	NaN	oui	0.0	non
41.99	0.0	Occasion	Non	0	Wii	NaN	oui	0.0	non
59.0	0.0	Occasion	Oui	0	Wii	NaN	oui	0.0	non
279.9	0.0	Occasion	Oui	0	3DS	oui	oui	0.0	non
233.38	0.0	Occasion	Oui	0	DSi	NaN	oui	0.0	non
95.63	0.0	Occasion	Oui	0	PSP	oui	oui	0.0	non
156.0	0.0	Occasion	Oui	0	2DS	oui	oui	0.0	non
237.2	44.36	Occasion	Oui	0	PS2	NaN	oui	0.0	non
221.79	43.32	Occasion	Oui	0	N64	oui	oui	0.0	non
375.0	10.0	Neuf	Non	0	Switch	NaN	oui	0.0	non
692.6	44.18	Occasion	Oui	0	SNES	NaN	oui	0.0	non
549.0	9.9	Occasion	Oui	0	N64	NaN	oui	0.0	non
381.35	57.92	Occasion	Oui	0	Dreamcast	NaN	oui	0.0	non
135.59	52.8	Occasion	Oui	0	PS2 slim	NaN	oui	0.0	non
219.42	0.0	Occasion	Oui	0	NES	NaN	oui	0.0	non
199.0	0.0	Occasion	Oui	0	Game cube	oui	oui	0.0	non
29.94	0.0	Pour pièces détachées/ne fonctionne pas	Oui	0	DSlite	oui	oui	0.0	non
125.0	7.0	Occasion	Oui	0	Game cube	NaN	oui	0.0	non
217.24	0.0	Neuf	Oui	0	Switch lite	NaN	oui	0.0	non
2000.0	0.0	Occasion	Non	0	Game&Watch	NaN	oui	0.0	non
149.99	5.9	Occasion	Non	0	Saturn	oui	oui	0.0	non
72.9	0.0	Occasion	Oui	0	Game Boy Color	NaN	oui	0.0	non
269.9	0.0	Occasion	Oui	0	PS Vita	NaN	oui	0.0	non
156.44	53.04	Occasion	Oui	0	Game cube	NaN	oui	0.0	non
74.99	5.9	Occasion	Non	0	Game Boy	NaN	oui	0.0	non
426.95	44.36	Occasion	Oui	0	Neo-Geo AES	NaN	oui	20.0	non
243.36	22.14	Occasion	Oui	0	GBA	NaN	oui	0.0	non
186.34	0.0	Occasion	Oui	0	NES	NaN	oui	0.0	non
250.0	14.0	Occasion	Oui	0	Mega Drive	NaN	oui	1.0	non
177.31	31.82	Occasion	Oui	0	SNES	NaN	oui	0.0	non
83.44	26.62	Occasion	Oui	0	Game Boy	NaN	oui	0.0	non
177.31	52.92	Occasion	Oui	0	Game cube	NaN	oui	0.0	non
65.99	0.0	Occasion	Non	0	Nintendo Mini	NaN	oui	0.0	non
178.44	0.0	Occasion	Oui	0	PS2 slim	NaN	oui	0.0	non
130.98	0.0	Occasion	Oui	0	NES	oui	oui	0.0	non
253.32	0.0	Occasion	Oui	160.0	PS3	NaN	oui	0.0	oui
